,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,keras
21,29576.0,81139.0,6382.615008,0.190344,1,1.232452951,1411.311601,964,84.16908714,4.516,34.7,35.35301707,1.25772286,181.3947591,34.908,0.491,0,0,1e-05,0.29576,0,0,22,0.468085106,1,0.021276596,0.010307129,0.047717154026
22,84592.46519,280485.0,15343.3767,1.247429,1,0.356525304,7659.885799,2040,137.4926471,1.59,92.6,1.77522908,1.913667042,353.0903308,59.213,1.057,0,0,1e-05,0.845924652,0,0,21,0.446808511,1,0.021276596,0.028466553,0.0479811728001
23,119961.0,307647.0,27618.25666,0.773729,1,0.325047863,14929.51581,28051,10.96741649,5.011,74.9,1.33830551,1.225265831,852.4577862,60.537,0.302,0,0,1e-05,1.19961,0,0,28,0.595744681,1,0.021276596,0.028146847,0.04507791996
24,116827.0,299698.0,27038.30443,0.750918,1,0.333669227,13748.12816,28051,10.68403978,5.095,75.4,3.01934623,1.206696398,688.8215329,60.663,0.302,0,0,1e-05,1.16827,0,0,32,0.680851064,1,0.021276596,0.029723822,0.0585392415524
25,117463.0,311674.0,26100.38493,0.769991,1,0.320848066,770.667172,2235,139.4514541,4.49,35.8,30.69743175,1.63504068,56.76149624,71.807,0.146,0,0,1e-05,1.17463,0,0,28,0.595744681,1,0.021276596,0.050454055,0.0427841246128
26,29198.0,79853.0,6345.131442,0.186342,2,2.504602207,1352.556499,964,82.83506224,4.576,34.6,35.35301707,1.322189524,165.5537174,35.489,0.491,0,0,1e-05,0.29198,0,0,28,0.595744681,1,0.021276596,0.010594497,0.0259101688862
27,26426.0,67845.0,5815.842928,0.156584,2,2.947895939,1227.139569,964,70.37863071,4.974,28.1,38.33173808,2.109332642,69.14311754,41.153,0.491,0,0,1e-05,0.26426,0,0,14,0.29787234,1,0.021276596,0.014820018,0.0220296680927
28,166105.0,614601.0,33660.88344,3.833377,2,0.325414375,3918.057625,51197,12.00462918,1.22,94.9,0.73337702,1.233168561,248.7893982,60.798,1.4179,0,0,1e-05,1.66105,0,0,0,0.0,0,0.0,0.018711376,0.0257810652256
29,29987.80283,82000.0,6442.123808,0.194680207,2,2.43902439,1462.903291,964,85.06224066,4.4614,34.7,35.35301707,0.999856204,204.3743053,34.32426031,0.491,0,0,1e-05,0.299878028,0,0,25,0.531914894,1,0.021276596,0.02,0.0393908023834
30,76512.15182,266995.0,14653.1268,1.252404,2,0.749077698,8342.73203,2040,130.879902,1.55,92.9,4.49764869,2.041135637,451.2149623,59.628,1.057,0,0,1e-05,0.765121518,0,0,32,0.680851064,1,0.021276596,0.025465573,0.0296763181686
31,102359.0,271529.0,23453.22546,0.649404,2,0.736569575,783.1745606,2235,121.4894855,4.927,30.4,9.49855473,2.003492331,35.11074903,72.149,0.146,0,0,1e-05,1.02359,0,0,10,0.212765957,1,0.021276596,0.055658798,0.071547716856
32,51985.0,156856.0,10892.29835,0.490379,2,1.275054827,3244.729058,4033,38.89313166,2.464,64.2,5.54353097,2.930998269,163.9780165,38.167,0.295,0,0,2.00001,103970.5199,2,100,28,0.595744681,1,0.021276596,0.045902902,0.0515642166138
33,53424.0,154023.0,10991.42153,0.513906,2,1.298507366,3462.062761,4033,38.19067692,2.303,72.0,23.61409717,2.879985268,173.305672,35.16,0.348784,0,0,2.00001,106848.5342,2,100,27,0.574468085,1,0.021276596,0.05246843,0.0443974137306
34,53411.0,154128.0,10969.45425,0.507258,2,1.297622755,3354.840216,4033,38.21671212,2.339,70.1,22.29358862,2.892738518,155.5597251,35.873,0.33332,0,0,2.00001,106822.5341,2,100,26,0.553191489,1,0.021276596,0.05308802,0.041989415884
35,55328.0,179180.0,11278.46939,0.474224,2,1.116196004,2918.466099,4033,44.42846516,2.87,54.0,17.67246481,2.678059314,103.6171967,42.311,0.3605,0,0,2.00001,110656.5533,2,100,27,0.574468085,2,0.042553191,0.079248255,0.0917532444
36,100660.0,291163.0,22263.91502,0.788941,2,0.686900465,1155.088218,23200,12.55012931,3.839,52.8,21.12472474,11.9098001,68.69802908,23.193,0.229,0,0,2.00001,201321.0066,2,100,6,0.260869565,2,0.086956522,0.163407724,0.184094876051
37,99923.0,292619.0,22316.90002,0.778406,2,0.683482617,1100.845723,23200,12.61288793,3.938,53.9,11.93788697,11.83071559,65.68084109,23.239,0.177,0,0,3.00001,299769.9992,3,100,6,0.260869565,3,0.130434783,0.173640575,0.168243706226
