,0,1,2,3,4,5,6,7,keras
0,48.35164835,0,0,0,1,455,578.5960913,0.01,-0.131121397018
1,48.13626374,0,0,0,1,455,544.5837599,0.010446755,-0.112024694681
2,46.67472527,0,0,0,1,455,494.1282842,0.010687507,-0.0809931159019
3,45.56263736,0,0,0,1,455,530.3124488,0.011066232,-0.0972843468189
4,81.34024896,0,0,0,1,964,182.7789067,0.011200856,-0.178554356098
5,44.42417582,0,0,0,1,455,489.9665829,0.011707029,-0.072380900383
6,76.74585062,0,0,0,1,964,66.49702819,0.012476656,-0.070209890604
7,43.77802198,0,0,0,1,455,384.3039912,0.012586715,-0.0412640012801
8,75.08609959,0,0,0,1,964,86.34850836,0.013166181,-0.0989868044853
9,44.72087912,0,0,0,1,455,374.5221033,0.014228988,-0.0431774891913
10,71.87759336,0,0,0,1,964,70.14076886,0.014312026,-0.0617307461798
11,45.43516484,0,0,0,1,455,375.6737092,0.014371232,-0.0458492822945
12,44.51648352,0,0,0,1,455,241.8509054,0.014840226,-0.0268527902663
13,45.92967033,0,0,0,1,455,421.6033593,0.016208289,-0.0538503564894
14,68.96161826,0,0,0,1,964,81.78582809,0.016280914,-0.0705480277538
15,45.43296703,0,0,0,1,455,404.6864001,0.017901307,-0.0491418577731
16,10.39620691,0,0,0,1,28051,609.2667193,0.03091306,-0.062871336937
17,10.148943,0,0,0,1,28051,702.6322893,0.034049924,-0.123048722744
18,11.2504367,0,0,0,1,28051,729.7478848,0.037687365,-0.141524165869
19,17.54433218,0,0,0,1,36125,23.26233877,0.090345202,0.17709928751
20,45.45274725,0,0,0,1,455,278.3159051,0.147297287,-0.0403476692736
21,84.16908714,0,0,0,1,964,181.3947591,0.010307129,-0.182660162449
22,10.96741649,0,0,0,1,28051,852.4577862,0.028146847,-0.217209041119
23,137.4926471,0,0,0,1,2040,353.0903308,0.028466553,-0.179522812366
24,10.68403978,0,0,0,1,28051,688.8215329,0.029723822,-0.114660054445
25,139.4514541,0,0,0,1,2235,56.76149624,0.050454055,-0.0493054427207
26,82.83506224,0,0,0,1,964,165.5537174,0.010594497,-0.177349403501
27,70.37863071,0,0,0,1,964,69.14311754,0.014820018,-0.0545468069613
28,12.00462918,0,0,0,1,51197,248.7893982,0.018711376,0.106882497668
29,85.06224066,0,0,0,1,964,204.3743053,0.02,-0.189763858914
30,130.879902,0,0,0,1,2040,451.2149623,0.025465573,-0.182851612568
31,38.89313166,100,0,0,2,4033,163.9780165,0.045902902,0.0576949380338
32,38.19067692,100,0,0,2,4033,173.305672,0.05246843,0.0305937342346
33,38.21671212,100,0,0,2,4033,155.5597251,0.05308802,0.0608196519315
34,121.4894855,0,0,0,1,2235,35.11074903,0.055658798,-0.048384103924
35,44.42846516,100,0,0,2,4033,103.6171967,0.079248255,0.265453398228
36,12.55012931,100,0,0,2,23200,68.69802908,0.163407724,-0.141580015421
37,12.61288793,100,0,0,2,23200,65.68084109,0.173640575,-0.132541075349
38,10.04615505,0,0,0,1,51197,467.9403125,0.010331718,0.0345994792879
39,16.69823639,0,0,0,1,33851,224.7383326,0.011347551,0.0988175570965
40,11.36382991,0,0,0,1,51197,343.8492495,0.031075131,0.0900281071663
41,12.15642936,100,0,0,2,28051,664.312997,0.04,-0.438934475183
42,142.0796421,0,0,0,1,2235,62.24690459,0.04047137,-0.0491309799254
43,38.26729482,0,0,0,1,4033,178.1216478,0.041595369,0.0345482043922
44,12.52780172,0,0,0,1,23200,207.4919517,0.052276936,0.111190676689
45,12.46409483,100,0,0,1,23200,190.7601074,0.055348874,-0.501339256763
46,40.93949913,0,0,0,1,4033,146.5493485,0.057380445,0.0233644507825
47,42.09025539,0,0,0,1,4033,135.3205585,0.061726344,0.0203626714647
48,117.0814318,0,0,0,1,2235,26.5404512,0.069707514,-0.0344480611384
49,17.8403045,0,0,0,1,36125,27.79757068,0.087279551,0.176414012909
50,12.5862069,100,0,0,2,23200,224.9687796,0.09,-0.380829036236
51,12.25198276,100,0,0,2,23200,120.1078122,0.135378747,-0.256684243679
52,12.46577586,0,0,0,1,23200,81.90366465,0.153957353,0.136931777
53,17.56416845,0,0,0,1,49035,1082.046561,0.007239259,-0.351584732533
54,78.19294606,0,0,0,1,964,81.2151655,0.011978864,-0.101165443659
55,73.45435685,0,0,0,1,964,69.40182364,0.013277802,-0.0652850866318
56,11.56641991,0,0,0,1,51197,277.6579255,0.016352272,0.0979356467724
57,9.188014688,100,0,0,2,28051,214.0950354,0.018282806,-0.409657418728
58,134.061745,0,0,0,1,2235,55.30182126,0.042038846,-0.0646913647652
59,38.60228118,100,0,0,2,4033,173.1731769,0.04374684,0.0373402647674
60,16.58562524,0,0,0,1,33851,228.8466711,0.010630886,0.096985116601
61,79.75414938,0,0,0,1,964,133.6215342,0.011664688,-0.159375548363
62,16.86210156,0,0,0,1,33851,242.6306315,0.012618089,0.0899097323418
63,38.43292834,0,0,0,1,4033,180.950374,0.02,0.0329388342798
64,16.51892115,0,0,0,1,33851,236.8058242,0.021106333,0.0939691364765
65,125.3759804,0,0,0,1,2040,455.5292788,0.02311808,-0.195982724428
66,134.5073529,0,0,0,1,2040,411.5823433,0.027007864,-0.171707808971
67,141.0539216,0,0,0,1,2040,358.4737377,0.029555009,-0.174626857042
68,144.966443,0,0,0,1,2235,65.85116712,0.03,-0.0428701080382
69,38.36325316,100,0,0,2,4033,161.1623503,0.042990299,0.0540450029075
70,39.84899578,0,0,0,1,4033,149.2257928,0.058295423,0.0276882313192
71,18.135391,0,0,0,1,36125,33.48277734,0.084941088,0.171780481935
72,10.17569389,0,0,0,1,51197,463.6399279,0.086160075,0.0363253615797
73,12.30051724,0,0,0,1,23200,107.1008861,0.013942686,0.125694692135
